event_timestamp,event_id,session_id,event_type,page_url
,,undefined-0,,
2022-03-29T22:23:24.406Z,c71bde2d-8362-454a-a319-a0b197aa2443,9aa9b470-a733-4499-a22e-a07c950429aa-0,pageview,http://www.dummywebsite.com/cart
2022-03-29T23:47:17.555Z,0d6265f6-44ca-4966-bc63-e5d5a3444058,9aa9b470-a733-4499-a22e-a07c950429aa-1,pageview,http://www.dummywebsite.com/cart
2022-03-30T13:44:38.549Z,433cc8b1-4a56-4adc-a921-151c5d965fa0,9aa9b470-a733-4499-a22e-a07c950429aa-4,pageview,http://www.dummywebsite.com/cart
2022-03-30T18:38:39.049Z,c3960169-314d-4983-825a-5875e47b331d,9aa9b470-a733-4499-a22e-a07c950429aa-7,pageview,http://www.dummywebsite.com/cart
2022-03-30T19:25:03.785Z,eb539881-585a-48e4-992a-75aa7e7b3cb4,9aa9b470-a733-4499-a22e-a07c950429aa-8,pageview,http://www.dummywebsite.com/cart
2022-03-31T00:41:43.605Z,bf69c8cb-3c3a-44f3-89b0-dab4f31b27e1,9aa9b470-a733-4499-a22e-a07c950429aa-9,pageview,http://www.dummywebsite.com/cart
2022-03-31T06:41:14.095Z,27a3f3f3-d2af-407c-955b-7396a1445f04,9aa9b470-a733-4499-a22e-a07c950429aa-10,pageview,http://www.dummywebsite.com/cart
2022-03-31T12:34:10.854Z,d5fd4006-31bd-4a28-83dd-a48f2f1d5b11,9aa9b470-a733-4499-a22e-a07c950429aa-12,pageview,http://www.dummywebsite.com/cart
2022-03-31T15:07:02.292Z,a68847e5-586a-4a24-b269-e35f15df4ad0,9aa9b470-a733-4499-a22e-a07c950429aa-14,pageview,http://www.dummywebsite.com/cart
2022-03-31T20:38:50.897Z,8e6ef90a-c40a-445f-ba91-e5ed0bc33aa3,9aa9b470-a733-4499-a22e-a07c950429aa-19,pageview,http://www.dummywebsite.com/cart
2022-04-01T06:18:05.495Z,c3dfab32-e203-4360-af6d-7e7b874311f4,9aa9b470-a733-4499-a22e-a07c950429aa-20,pageview,http://www.dummywebsite.com/cart
2022-04-01T14:00:24.672Z,b4bccc8f-1908-4688-bb27-8c9613db61ee,9aa9b470-a733-4499-a22e-a07c950429aa-22,pageview,http://www.dummywebsite.com/cart
2022-04-02T09:42:15.518Z,8fa02531-56d6-4e30-8bbd-4f752266653b,9aa9b470-a733-4499-a22e-a07c950429aa-27,pageview,http://www.dummywebsite.com/cart
2022-04-03T07:23:39.551Z,6bfaeb7d-4c7e-40ce-b098-3b4f5721938b,9aa9b470-a733-4499-a22e-a07c950429aa-34,pageview,http://www.dummywebsite.com/cart
2022-04-03T12:02:58.780Z,a0541f95-15c6-483a-a18f-a65ab1902971,9aa9b470-a733-4499-a22e-a07c950429aa-36,pageview,http://www.dummywebsite.com/cart
2022-04-03T15:30:53.633Z,7c1a43fc-0452-4f43-b179-cc687e40d213,9aa9b470-a733-4499-a22e-a07c950429aa-37,pageview,http://www.dummywebsite.com/cart
2022-04-03T15:31:21.287Z,f930d51e-2853-4d90-bc9e-9f49d1f533a0,9aa9b470-a733-4499-a22e-a07c950429aa-37,pageview,http://www.dummywebsite.com/cart
2022-04-03T20:44:19.313Z,77f9ffbf-76a2-41fb-be4e-81aa0368c225,9aa9b470-a733-4499-a22e-a07c950429aa-40,pageview,http://www.dummywebsite.com/cart
2022-04-04T15:17:13.854Z,d87def9a-b267-47d4-ae3d-5c3b4b229d13,9aa9b470-a733-4499-a22e-a07c950429aa-48,pageview,http://www.dummywebsite.com/cart
2022-04-05T11:35:12.804Z,1f65c1cb-4fae-4314-8851-4dabe8f47a50,9aa9b470-a733-4499-a22e-a07c950429aa-51,pageview,http://www.dummywebsite.com/cart
2022-04-05T11:35:34.748Z,b24c0152-cb5b-4e24-acae-177f8b34a324,9aa9b470-a733-4499-a22e-a07c950429aa-51,pageview,http://www.dummywebsite.com/cart
2022-04-05T11:36:02.223Z,942baf2d-7237-4cd7-809e-1ad3c756797d,9aa9b470-a733-4499-a22e-a07c950429aa-51,pageview,http://www.dummywebsite.com/cart
